2026-09-25T22:42:29.594Z +0.000s INFO  [app] session=292bafc9 start kabl-ui 0.1.0 (commit 99c28d30a08d) level=DEBUG log=target/signal-inspection-r1/user/logs/kabl.log
2026-09-25T22:42:29.598Z +0.004s INFO  [library] session=292bafc9 factory sounds: /home/user/kabl/patches; your sounds: target/signal-inspection-r1/user/sounds
2026-09-25T22:42:29.601Z +0.007s INFO  [midi] session=292bafc9 listening for MIDI on "kabl-pipe" (test pipe)
2026-09-25T22:42:29.601Z +0.007s INFO  [audio] session=292bafc9 backend=Alsa requested rate=Some(48000) frames=Some(256) rt=true
2026-09-25T22:42:44.591Z +14.997s DEBUG [graph] session=292bafc9 compiled generation=147 fresh=false modules=6 took_us=47
2026-09-25T22:42:44.611Z +15.017s DEBUG [graph] session=292bafc9 compiled generation=148 fresh=false modules=6 took_us=43
2026-09-25T22:42:44.628Z +15.034s DEBUG [graph] session=292bafc9 compiled generation=149 fresh=false modules=6 took_us=43
2026-09-25T22:42:44.650Z +15.056s DEBUG [graph] session=292bafc9 compiled generation=150 fresh=false modules=6 took_us=42
2026-09-25T22:42:44.672Z +15.078s DEBUG [graph] session=292bafc9 compiled generation=151 fresh=false modules=6 took_us=44
2026-09-25T22:42:44.694Z +15.100s DEBUG [graph] session=292bafc9 compiled generation=152 fresh=false modules=6 took_us=42
2026-09-25T22:42:44.716Z +15.122s DEBUG [graph] session=292bafc9 compiled generation=153 fresh=false modules=6 took_us=69
2026-09-25T22:42:44.739Z +15.145s DEBUG [graph] session=292bafc9 compiled generation=154 fresh=false modules=6 took_us=66
2026-09-25T22:42:44.766Z +15.172s DEBUG [graph] session=292bafc9 compiled generation=155 fresh=false modules=6 took_us=61
2026-09-25T22:42:44.792Z +15.198s DEBUG [graph] session=292bafc9 compiled generation=156 fresh=false modules=6 took_us=69
2026-09-25T22:42:44.816Z +15.222s DEBUG [graph] session=292bafc9 compiled generation=157 fresh=false modules=6 took_us=52
2026-09-25T22:42:44.835Z +15.241s DEBUG [graph] session=292bafc9 compiled generation=158 fresh=false modules=6 took_us=42
2026-09-25T22:42:44.858Z +15.264s DEBUG [graph] session=292bafc9 compiled generation=159 fresh=false modules=6 took_us=45
2026-09-25T22:42:44.875Z +15.281s DEBUG [graph] session=292bafc9 compiled generation=160 fresh=false modules=6 took_us=47
2026-09-25T22:42:44.897Z +15.302s DEBUG [graph] session=292bafc9 compiled generation=161 fresh=false modules=6 took_us=73
2026-09-25T22:42:44.913Z +15.319s DEBUG [graph] session=292bafc9 compiled generation=162 fresh=false modules=6 took_us=56
2026-09-25T22:42:44.930Z +15.336s DEBUG [graph] session=292bafc9 compiled generation=163 fresh=false modules=6 took_us=45
2026-09-25T22:42:44.954Z +15.360s DEBUG [graph] session=292bafc9 compiled generation=164 fresh=false modules=6 took_us=50
2026-09-25T22:42:44.974Z +15.380s DEBUG [graph] session=292bafc9 compiled generation=165 fresh=false modules=6 took_us=49
2026-09-25T22:42:44.993Z +15.399s DEBUG [graph] session=292bafc9 compiled generation=166 fresh=false modules=6 took_us=40
2026-09-25T22:42:45.010Z +15.416s DEBUG [graph] session=292bafc9 compiled generation=167 fresh=false modules=6 took_us=44
2026-09-25T22:42:45.026Z +15.432s DEBUG [graph] session=292bafc9 compiled generation=168 fresh=false modules=6 took_us=42
2026-09-25T22:42:45.045Z +15.451s DEBUG [graph] session=292bafc9 compiled generation=169 fresh=false modules=6 took_us=42
2026-09-25T22:42:45.065Z +15.471s DEBUG [graph] session=292bafc9 compiled generation=170 fresh=false modules=6 took_us=42
2026-09-25T22:42:45.085Z +15.491s DEBUG [graph] session=292bafc9 compiled generation=171 fresh=false modules=6 took_us=48
2026-09-25T22:42:45.103Z +15.509s DEBUG [graph] session=292bafc9 compiled generation=172 fresh=false modules=6 took_us=49
2026-09-25T22:42:45.121Z +15.527s DEBUG [graph] session=292bafc9 compiled generation=173 fresh=false modules=6 took_us=46
2026-09-25T22:42:45.139Z +15.545s DEBUG [graph] session=292bafc9 compiled generation=174 fresh=false modules=6 took_us=48
2026-09-25T22:42:45.162Z +15.567s DEBUG [graph] session=292bafc9 compiled generation=175 fresh=false modules=6 took_us=93
2026-09-25T22:42:45.179Z +15.585s DEBUG [graph] session=292bafc9 compiled generation=176 fresh=false modules=6 took_us=47
2026-09-25T22:42:45.201Z +15.607s DEBUG [graph] session=292bafc9 compiled generation=177 fresh=false modules=6 took_us=50
2026-09-25T22:42:45.222Z +15.628s DEBUG [graph] session=292bafc9 compiled generation=178 fresh=false modules=6 took_us=59
2026-09-25T22:42:45.244Z +15.650s DEBUG [graph] session=292bafc9 compiled generation=179 fresh=false modules=6 took_us=49
2026-09-25T22:42:45.263Z +15.669s DEBUG [graph] session=292bafc9 compiled generation=180 fresh=false modules=6 took_us=50
2026-09-25T22:42:45.282Z +15.688s DEBUG [graph] session=292bafc9 compiled generation=181 fresh=false modules=6 took_us=46
2026-09-25T22:42:45.301Z +15.707s DEBUG [graph] session=292bafc9 compiled generation=182 fresh=false modules=6 took_us=43
2026-09-25T22:42:45.318Z +15.724s DEBUG [graph] session=292bafc9 compiled generation=183 fresh=false modules=6 took_us=43
2026-09-25T22:42:45.335Z +15.741s DEBUG [graph] session=292bafc9 compiled generation=184 fresh=false modules=6 took_us=50
2026-09-25T22:42:45.359Z +15.765s DEBUG [graph] session=292bafc9 compiled generation=185 fresh=false modules=6 took_us=49
2026-09-25T22:42:45.376Z +15.782s DEBUG [graph] session=292bafc9 compiled generation=186 fresh=false modules=6 took_us=50
2026-09-25T22:42:45.394Z +15.800s DEBUG [graph] session=292bafc9 compiled generation=187 fresh=false modules=6 took_us=49
2026-09-25T22:42:45.416Z +15.822s DEBUG [graph] session=292bafc9 compiled generation=188 fresh=false modules=6 took_us=49
2026-09-25T22:42:45.434Z +15.840s DEBUG [graph] session=292bafc9 compiled generation=189 fresh=false modules=6 took_us=48
2026-09-25T22:42:45.454Z +15.860s DEBUG [graph] session=292bafc9 compiled generation=190 fresh=false modules=6 took_us=45
2026-09-25T22:42:45.473Z +15.879s DEBUG [graph] session=292bafc9 compiled generation=191 fresh=false modules=6 took_us=43
2026-09-25T22:42:45.492Z +15.898s DEBUG [graph] session=292bafc9 compiled generation=192 fresh=false modules=6 took_us=41
2026-09-25T22:42:45.508Z +15.914s DEBUG [graph] session=292bafc9 compiled generation=193 fresh=false modules=6 took_us=42
2026-09-25T22:42:45.525Z +15.930s DEBUG [graph] session=292bafc9 compiled generation=194 fresh=false modules=6 took_us=50
